;
; MOS Technology 6502 registers
;
; layout
; <name>,<value>,<stdname>,<stabidx>,<dwarfidx>
;
NO,$00000000,INVALID,-1,-1

; Main registers
A,$01010000,a,0,0
X,$01010001,x,1,1
Y,$01010002,y,2,2

; Flags
P,$05010003,p,3,3
CARRYFLAG,$050f0003,carryflag,-1,-1
ZEROFLAG,$05100003,zeroflag,-1,-1
IRQDISABLEFLAG,$05110003,irqdisableflag,-1,-1
DECIMALMODEFLAG,$05120003,decimalmodeflag,-1,-1
BRKCOMMANDFLAG,$05130003,brkcommandflag,-1,-1
OVERFLOWFLAG,$05150003,overflowflag,-1,-1
NEGATIVEFLAG,$05160003,negativeflag,-1,-1

; Stack pointer
S,$05010004,s,4,4

; Program counter
PC,$05030005,pc,5,5

; Zero page memory locations as 8-bit virtual registers
RZB0,$01010006,rzb0,-1,-1
RZB1,$01010007,rzb1,-1,-1
RZB2,$01010008,rzb2,-1,-1
RZB3,$01010009,rzb3,-1,-1
RZB4,$0101000a,rzb4,-1,-1
RZB5,$0101000b,rzb5,-1,-1
RZB6,$0101000c,rzb6,-1,-1
RZB7,$0101000d,rzb7,-1,-1
RZB8,$0101000e,rzb8,-1,-1
RZB9,$0101000f,rzb9,-1,-1
RZB10,$01010010,rzb10,-1,-1
RZB11,$01010011,rzb11,-1,-1
RZB12,$01010012,rzb12,-1,-1
RZB13,$01010013,rzb13,-1,-1
RZB14,$01010014,rzb14,-1,-1
RZB15,$01010015,rzb15,-1,-1
RZB16,$01010016,rzb16,-1,-1
RZB17,$01010017,rzb17,-1,-1
RZB18,$01010018,rzb18,-1,-1
RZB19,$01010019,rzb19,-1,-1
RZB20,$0101001a,rzb20,-1,-1
RZB21,$0101001b,rzb21,-1,-1
RZB22,$0101001c,rzb22,-1,-1
RZB23,$0101001d,rzb23,-1,-1
RZB24,$0101001e,rzb24,-1,-1
RZB25,$0101001f,rzb25,-1,-1
RZB26,$01010020,rzb26,-1,-1
RZB27,$01010021,rzb27,-1,-1
RZB28,$01010022,rzb28,-1,-1
RZB29,$01010023,rzb29,-1,-1
RZB30,$01010024,rzb30,-1,-1
RZB31,$01010025,rzb31,-1,-1
RZB32,$01010026,rzb32,-1,-1
RZB33,$01010027,rzb33,-1,-1
RZB34,$01010028,rzb34,-1,-1
RZB35,$01010029,rzb35,-1,-1
RZB36,$0101002a,rzb36,-1,-1
RZB37,$0101002b,rzb37,-1,-1
RZB38,$0101002c,rzb38,-1,-1
RZB39,$0101002d,rzb39,-1,-1
RZB40,$0101002e,rzb40,-1,-1
RZB41,$0101002f,rzb41,-1,-1
RZB42,$01010030,rzb42,-1,-1
RZB43,$01010031,rzb43,-1,-1
RZB44,$01010032,rzb44,-1,-1
RZB45,$01010033,rzb45,-1,-1
RZB46,$01010034,rzb46,-1,-1
RZB47,$01010035,rzb47,-1,-1
RZB48,$01010036,rzb48,-1,-1
RZB49,$01010037,rzb49,-1,-1
RZB50,$01010038,rzb50,-1,-1
RZB51,$01010039,rzb51,-1,-1
RZB52,$0101003a,rzb52,-1,-1
RZB53,$0101003b,rzb53,-1,-1
RZB54,$0101003c,rzb54,-1,-1
RZB55,$0101003d,rzb55,-1,-1
RZB56,$0101003e,rzb56,-1,-1
RZB57,$0101003f,rzb57,-1,-1
RZB58,$01010040,rzb58,-1,-1
RZB59,$01010041,rzb59,-1,-1
RZB60,$01010042,rzb60,-1,-1
RZB61,$01010043,rzb61,-1,-1
RZB62,$01010044,rzb62,-1,-1
RZB63,$01010045,rzb63,-1,-1
RZB64,$01010046,rzb64,-1,-1
RZB65,$01010047,rzb65,-1,-1
RZB66,$01010048,rzb66,-1,-1
RZB67,$01010049,rzb67,-1,-1
RZB68,$0101004a,rzb68,-1,-1
RZB69,$0101004b,rzb69,-1,-1
RZB70,$0101004c,rzb70,-1,-1
RZB71,$0101004d,rzb71,-1,-1
RZB72,$0101004e,rzb72,-1,-1
RZB73,$0101004f,rzb73,-1,-1
RZB74,$01010050,rzb74,-1,-1
RZB75,$01010051,rzb75,-1,-1
RZB76,$01010052,rzb76,-1,-1
RZB77,$01010053,rzb77,-1,-1
RZB78,$01010054,rzb78,-1,-1
RZB79,$01010055,rzb79,-1,-1
RZB80,$01010056,rzb80,-1,-1
RZB81,$01010057,rzb81,-1,-1
RZB82,$01010058,rzb82,-1,-1
RZB83,$01010059,rzb83,-1,-1
RZB84,$0101005a,rzb84,-1,-1
RZB85,$0101005b,rzb85,-1,-1
RZB86,$0101005c,rzb86,-1,-1
RZB87,$0101005d,rzb87,-1,-1
RZB88,$0101005e,rzb88,-1,-1
RZB89,$0101005f,rzb89,-1,-1
RZB90,$01010060,rzb90,-1,-1
RZB91,$01010061,rzb91,-1,-1
RZB92,$01010062,rzb92,-1,-1
RZB93,$01010063,rzb93,-1,-1
RZB94,$01010064,rzb94,-1,-1
RZB95,$01010065,rzb95,-1,-1
RZB96,$01010066,rzb96,-1,-1
RZB97,$01010067,rzb97,-1,-1
RZB98,$01010068,rzb98,-1,-1
RZB99,$01010069,rzb99,-1,-1
RZB100,$0101006a,rzb100,-1,-1
RZB101,$0101006b,rzb101,-1,-1
RZB102,$0101006c,rzb102,-1,-1
RZB103,$0101006d,rzb103,-1,-1
RZB104,$0101006e,rzb104,-1,-1
RZB105,$0101006f,rzb105,-1,-1
RZB106,$01010070,rzb106,-1,-1
RZB107,$01010071,rzb107,-1,-1
RZB108,$01010072,rzb108,-1,-1
RZB109,$01010073,rzb109,-1,-1
RZB110,$01010074,rzb110,-1,-1
RZB111,$01010075,rzb111,-1,-1
RZB112,$01010076,rzb112,-1,-1
RZB113,$01010077,rzb113,-1,-1
RZB114,$01010078,rzb114,-1,-1
RZB115,$01010079,rzb115,-1,-1
RZB116,$0101007a,rzb116,-1,-1
RZB117,$0101007b,rzb117,-1,-1
RZB118,$0101007c,rzb118,-1,-1
RZB119,$0101007d,rzb119,-1,-1
RZB120,$0101007e,rzb120,-1,-1
RZB121,$0101007f,rzb121,-1,-1

; Zero page memory locations as 16-bit virtual registers
RZW0,$01030080,rzw0,-1,-1
RZW0L,$01010080,rzw0l,-1,-1
RZW0H,$01020080,rzw0h,-1,-1
RZW1,$01030081,rzw1,-1,-1
RZW1L,$01010081,rzw1l,-1,-1
RZW1H,$01020081,rzw1h,-1,-1
RZW2,$01030082,rzw2,-1,-1
RZW2L,$01010082,rzw2l,-1,-1
RZW2H,$01020082,rzw2h,-1,-1
RZW3,$01030083,rzw3,-1,-1
RZW3L,$01010083,rzw3l,-1,-1
RZW3H,$01020083,rzw3h,-1,-1
RZW4,$01030084,rzw4,-1,-1
RZW4L,$01010084,rzw4l,-1,-1
RZW4H,$01020084,rzw4h,-1,-1
RZW5,$01030085,rzw5,-1,-1
RZW5L,$01010085,rzw5l,-1,-1
RZW5H,$01020085,rzw5h,-1,-1
RZW6,$01030086,rzw6,-1,-1
RZW6L,$01010086,rzw6l,-1,-1
